stn,time,fkl010z0,fkl010z1,dkl010z0,dkl010z1,fkl010z3
850,201906150750,2.2,3.9,250,10000000,3.8
850,201906150800,1.2,2.0,270,10000000,2.0
850,201906150810,2.0,3.9,262,10000000,3.8
850,201906150820,1.6,3.2,255,10000000,3.1
850,201906150830,2.2,3.7,257,10000000,3.7
850,201906150840,1.9,3.4,236,10000000,3.3
850,201906150850,1.8,3.3,255,10000000,3.2
850,201906150900,1.9,3.1,273,10000000,3.0
850,201906150910,2.3,3.6,286,10000000,3.5
850,201906150920,2.6,4.7,274,10000000,4.5
850,201906150930,2.3,3.9,284,10000000,3.8
850,201906150940,2.2,3.5,320,10000000,3.4
850,201906150950,2.1,3.8,318,10000000,3.7
850,201906151000,1.7,3.2,304,10000000,3.2
850,201906151010,2.3,3.5,347,10000000,3.4
850,201906151020,2.4,4.5,359,10000000,4.4
850,201906151030,2.6,4.7,354,10000000,4.5
850,201906151040,4.1,5.9,307,10000000,5.7
850,201906151050,3.0,5.3,295,10000000,5.2
850,201906151100,1.7,2.8,303,10000000,2.7
850,201906151110,1.2,1.9,22,10000000,1.8
850,201906151120,2.2,4.2,352,10000000,4.0
850,201906151130,2.1,3.7,8,10000000,3.6
850,201906151140,1.4,2.4,34,10000000,2.4
850,201906151150,1.7,3.4,6,10000000,3.3
850,201906151200,2.0,3.7,332,10000000,3.5
850,201906151210,2.5,4.5,333,10000000,4.4
850,201906151220,2.2,4.2,309,10000000,4.1
850,201906151230,2.8,5.3,309,10000000,5.2
850,201906151240,3.3,4.6,323,10000000,4.5
850,201906151250,2.9,4.4,329,10000000,4.3
850,201906151300,3.1,5.5,6,10000000,5.4
850,201906151310,3.3,5.4,8,10000000,5.3
850,201906151320,3.8,5.9,355,10000000,5.8
850,201906151330,4.7,7.4,356,10000000,7.3
850,201906151340,4.1,5.8,4,10000000,5.7
850,201906151350,5.3,8.0,344,10000000,7.9
850,201906151400,5.4,7.5,341,10000000,7.4
850,201906151410,5.3,7.1,340,10000000,6.9
850,201906151420,5.4,7.4,2,10000000,7.3
850,201906151430,6.4,9.0,15,10000000,8.7
850,201906151440,6.7,9.0,13,10000000,8.9
850,201906151450,7.3,9.8,4,10000000,9.4
850,201906151500,7.2,9.8,5,10000000,9.6
850,201906151510,6.7,10.3,344,10000000,10.1
850,201906151520,6.6,10.4,1,10000000,10.0
850,201906151530,6.6,10.3,358,10000000,9.8
850,201906151540,12.0,27.3,256,10000000,25.3
850,201906151550,4.3,10.8,60,10000000,10.2
850,201906151600,3.5,10.0,111,10000000,9.6
850,201906151610,7.7,14.2,208,10000000,13.8
850,201906151620,6.1,10.9,204,10000000,10.6
850,201906151630,5.2,8.5,188,10000000,8.2
850,201906151640,6.7,10.4,202,10000000,10.3
850,201906151650,5.9,9.3,205,10000000,9.0
850,201906151700,5.9,9.4,198,10000000,9.2
850,201906151710,2.8,6.3,194,10000000,6.1
850,201906151720,2.0,3.3,198,10000000,3.2
850,201906151730,2.0,3.0,139,10000000,2.9
850,201906151740,3.1,5.1,106,10000000,5.0
850,201906151750,2.1,3.2,116,10000000,3.2
850,201906151800,2.5,3.6,110,10000000,3.5
850,201906151810,2.3,3.2,111,10000000,3.1
850,201906151820,1.8,2.5,117,10000000,2.4
850,201906151830,1.2,2.3,139,10000000,2.3
850,201906151840,0.6,1.4,190,10000000,1.3
850,201906151850,0.8,1.7,255,10000000,1.7
850,201906151900,1.2,1.7,299,10000000,1.7
850,201906151910,1.7,2.4,281,10000000,2.3
